,accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription,fileLink,txtFileLink
18,0001564590-19-040540,2019-11-06,2019-09-30,2019-11-05T18:21:08.000Z,34,10-Q,814-01219,191194605,,8192919,0,0,orccii-10q_20190930.htm,10-Q,https://www.sec.gov/Archives/edgar/data/1655887/000156459019040540/orccii-10q_20190930.htm,https://www.sec.gov/Archives/edgar/data/1655887/000156459019040540/0001564590-19-040540.txt
19,0001564590-19-030152,2019-08-07,2019-06-30,2019-08-07T16:46:12.000Z,34,10-Q,814-01219,191006142,,8017803,0,0,orccii-10q_20190630.htm,10-Q,https://www.sec.gov/Archives/edgar/data/1655887/000156459019030152/orccii-10q_20190630.htm,https://www.sec.gov/Archives/edgar/data/1655887/000156459019030152/0001564590-19-030152.txt
20,0001564590-19-017017,2019-05-08,2019-03-31,2019-05-08T13:43:48.000Z,34,10-Q,814-01219,19806071,,6960831,0,0,orccii-10q_20190331.htm,1Q'19 10-Q,https://www.sec.gov/Archives/edgar/data/1655887/000156459019017017/orccii-10q_20190331.htm,https://www.sec.gov/Archives/edgar/data/1655887/000156459019017017/0001564590-19-017017.txt
21,0001564590-19-004958,2019-02-27,2018-12-31,2019-02-27T16:45:08.000Z,34,10-K,814-01219,19638375,,7336320,0,0,orccii-10k_20181231.htm,10-K,https://www.sec.gov/Archives/edgar/data/1655887/000156459019004958/orccii-10k_20181231.htm,https://www.sec.gov/Archives/edgar/data/1655887/000156459019004958/0001564590-19-004958.txt
22,0001564590-18-027576,2018-11-07,2018-09-30,2018-11-06T18:03:23.000Z,34,10-Q,814-01219,181164187,,6030739,0,0,orccii-10q_20180930.htm,3Q'18 10-Q,https://www.sec.gov/Archives/edgar/data/1655887/000156459018027576/orccii-10q_20180930.htm,https://www.sec.gov/Archives/edgar/data/1655887/000156459018027576/0001564590-18-027576.txt
23,0001564590-18-020092,2018-08-08,2018-06-30,2018-08-07T18:56:41.000Z,34,10-Q,814-01219,18999494,,5267837,0,0,orccii-10q_20180630.htm,10-Q,https://www.sec.gov/Archives/edgar/data/1655887/000156459018020092/orccii-10q_20180630.htm,https://www.sec.gov/Archives/edgar/data/1655887/000156459018020092/0001564590-18-020092.txt
24,0001564590-18-011995,2018-05-09,2018-03-31,2018-05-08T19:03:20.000Z,34,10-Q,814-01219,18816255,,3885369,0,0,orccii-10q_20180331.htm,10-Q,https://www.sec.gov/Archives/edgar/data/1655887/000156459018011995/orccii-10q_20180331.htm,https://www.sec.gov/Archives/edgar/data/1655887/000156459018011995/0001564590-18-011995.txt
25,0001564590-18-004298,2018-03-05,2017-12-31,2018-03-02T19:09:08.000Z,34,10-K,814-01219,18664062,,3637768,0,0,orccii-10k_20171231.htm,10-K,https://www.sec.gov/Archives/edgar/data/1655887/000156459018004298/orccii-10k_20171231.htm,https://www.sec.gov/Archives/edgar/data/1655887/000156459018004298/0001564590-18-004298.txt
26,0001564590-17-022363,2017-11-08,2017-09-30,2017-11-07T18:10:08.000Z,34,10-Q,814-01219,171184624,,2264646,0,0,orccii-10q_20170930.htm,2017_SEPT 30_10-Q,https://www.sec.gov/Archives/edgar/data/1655887/000156459017022363/orccii-10q_20170930.htm,https://www.sec.gov/Archives/edgar/data/1655887/000156459017022363/0001564590-17-022363.txt
27,0001564590-17-016651,2017-08-09,2017-06-30,2017-08-08T18:46:22.000Z,34,10-Q,814-01219,171016052,,2064601,0,0,orccii-10q_20170630.htm,10-Q,https://www.sec.gov/Archives/edgar/data/1655887/000156459017016651/orccii-10q_20170630.htm,https://www.sec.gov/Archives/edgar/data/1655887/000156459017016651/0001564590-17-016651.txt
28,0001564590-17-009957,2017-05-09,2017-03-31,2017-05-09T17:29:21.000Z,34,10-Q,814-01219,17827639,,356856,0,0,orccii-10q_20170331.htm,10-Q,https://www.sec.gov/Archives/edgar/data/1655887/000156459017009957/orccii-10q_20170331.htm,https://www.sec.gov/Archives/edgar/data/1655887/000156459017009957/0001564590-17-009957.txt
